ambient_temperature,Re,Rct,SOH
24.062,-0.3733333666666666,9.626666633333333,0.0
24.062,0.6360001000000001,0.13600010000000004,71.61501382241663
24.062,0.6694737912280702,0.14315800175438598,68.0342623367894
24.062,0.6579311379310344,0.14068975862068966,69.22784669500275
24.062,0.6579311362068965,0.14068975689655175,69.2278475034479
24.0,0.6366667650000001,0.13666676500000005,71.282100255701
23.937,0.6366667683333334,0.13666676833333335,71.28209859916288
24.0,0.6255738704918032,0.1337705918032787,72.80859653586234
24.0,0.6579311327586207,0.14068975344827592,69.22784912033825
24.062,0.6366667650000001,0.13666676500000005,71.282100255701
24.0,0.6366667650000001,0.13666676500000005,71.282100255701
24.0,0.6360000983333334,0.13600009833333337,71.61501465873921
24.0,0.6366667633333334,0.13666676333333339,71.28210108397009
24.0,0.626229606557377,0.13442632786885247,72.47013441788914
24.0,0.6366667683333334,0.13666676833333335,71.28209859916288
24.0,0.6366667666666667,0.1366667666666667,71.28209942743194
24.0,0.6586207948275862,0.1413794155172414,68.90602864585745
24.0,0.6360001000000001,0.13600010000000004,71.61501382241663
24.0,0.6360001016666667,0.13600010166666668,71.6150129860941
24.0,0.6467797627118644,0.138305186440678,70.4214302587097
24.0,0.6694737894736842,0.14315800000000004,68.0342631312958
23.937,0.6360000950000001,0.13600009500000007,71.6150163313844
23.937,0.6467797627118644,0.138305186440678,70.4214302587097
24.0,0.6467797627118644,0.138305186440678,70.4214302587097
23.937,0.647457727118644,0.13898315084745766,70.09406525143933
23.937,0.6467797644067796,0.13830518813559323,70.42142943632587
24.0,0.6474577288135593,0.1389831525423729,70.09406443697475
24.0,0.6262296032786885,0.134426324590164,72.47013610203625
24.0,0.6360000950000001,0.13600009500000007,71.6150163313844
24.0,0.6366667683333334,0.13666676833333335,71.28209859916288
24.0,0.6579311413793103,0.14068976206896552,69.22784507811251
24.0,0.6701755385964913,0.14385974912280708,67.71799681662723
24.0,0.6579311396551724,0.14068976034482758,69.22784588655763
24.0,0.6255738672131147,0.1337705885245902,72.80859823638485
24.0,0.6467797627118644,0.138305186440678,70.4214302587097
24.0,0.6467797644067796,0.13830518813559323,70.42142943632587
24.0,0.6262296016393443,0.13442632295081972,72.47013694410987
24.0,0.6474577322033898,0.1389831559322034,70.09406280804563
23.937,0.6467797644067796,0.13830518813559323,70.42142943632587
23.937,0.6467797627118644,0.138305186440678,70.4214302587097
23.937,0.647457727118644,0.13898315084745766,70.09406525143933
23.937,0.6467797576271187,0.13830518135593226,70.42143272586132
23.937,0.6360000983333334,0.13600009833333337,71.61501465873921
23.875,0.6360001000000001,0.13600010000000004,71.61501382241663
23.937,0.647457727118644,0.13898315084745766,70.09406525143933
24.0,0.6360000983333334,0.13600009833333337,71.61501465873921
23.937,0.6467797593220339,0.1383051830508475,70.42143190347744
24.0,0.6154839645161291,0.1316129967741936,74.00218267823051
23.937,0.6579311344827586,0.14068975517241383,69.22784831189307
23.937,0.6467797593220339,0.1383051830508475,70.42143190347744
23.937,0.6360001033333333,0.13600010333333334,71.61501214977157
23.937,0.6360000966666667,0.1360000966666667,71.6150154950618
24.0,0.626229606557377,0.13442632786885247,72.47013441788914
23.937,0.6461017966101695,0.1376272203389831,70.75198712364096
23.937,0.6262296032786885,0.134426324590164,72.47013610203625
23.937,0.6467797627118644,0.138305186440678,70.4214302587097
24.0,0.6579311379310344,0.14068975862068966,69.22784669500275
24.0,0.6467797610169491,0.13830518474576275,70.42143108109356
24.0,0.6467797627118644,0.138305186440678,70.4214302587097
24.0,0.6262296049180328,0.13442632622950823,72.47013525996269
23.937,0.6467797627118644,0.138305186440678,70.4214302587097
24.0,0.6579311344827586,0.14068975517241383,69.22784831189307
24.0,0.647457727118644,0.13898315084745766,70.09406525143933
23.937,0.6467797610169491,0.13830518474576275,70.42143108109356
23.937,0.6154839661290323,0.1316129983870968,74.00218181403052
23.937,0.6360000983333334,0.13600009833333337,71.61501465873921
23.937,0.6148388048387097,0.13096783709677423,74.34954666358966
24.0,0.6579311344827586,0.14068975517241383,69.22784831189307
24.0,0.6262296049180328,0.13442632622950823,72.47013525996269
24.0,0.6467797644067796,0.13830518813559323,70.42142943632587
24.0,0.6474577237288136,0.13898314745762716,70.09406688036854
24.0,0.6366667666666667,0.1366667666666667,71.28209942743194
24.0,0.6467797627118644,0.138305186440678,70.4214302587097
24.0,0.6586207879310345,0.1413794086206897,68.90603184849789
24.0,0.6360000966666667,0.1360000966666667,71.6150154950618
24.062,0.6586207896551723,0.14137941034482762,68.90603104783776
24.062,0.6467797593220339,0.1383051830508475,70.42143190347744
24.062,0.6255738672131147,0.1337705885245902,72.80859823638485
24.0,0.6579311362068965,0.14068975689655175,69.2278475034479
24.0,0.6474577237288136,0.13898314745762716,70.09406688036854
